Season,Set,Difficulty,Head Editor,Literature,History,Science,Arts,Beliefs,Thought,Other
2022-23,<a href = '/sets/22-23-acf-fall'>ACF Fall</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/arjun-nageswaran'>Arjun Nageswaran</a><br><a href = '../players/steven-liu'>Steven Liu</a>,"<a href = '../players/jim-fan'>Jim Fan</a> <i style = 'font-size:80%'>American, European</i><br><a href = '../players/raymond-chen'>Raymond Chen</a> <i style = 'font-size:80%'>British, World</i>","<a href = '../players/daniel-ma'>Daniel Ma</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/dean-ah-now'>Dean Ah Now</a> <i style = 'font-size:80%'>World, European</i><br><a href = '../players/walter-zhang'>Walter Zhang</a> <i style = 'font-size:80%'>American</i>",<a href = '../players/june-yin'>June Yin</a> <i style = 'font-size:80%'>Science</i><br><a href = '../players/walter-zhang'>Walter Zhang</a> <i style = 'font-size:80%'>Other</i>,"<a href = '../players/daniel-ma'>Daniel Ma</a> <i style = 'font-size:80%'>Auditory, Other</i><br><a href = '../players/sean-farrell'>Sean Farrell</a> <i style = 'font-size:80%'>Visual, Other</i>","<a href = '../players/evan-knox'>Evan Knox</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/sean-farrell'>Sean Farrell</a> <i style = 'font-size:80%'>Religion, Mythology</i>",<a href = '../players/ned-tagtmeier'>Ned Tagtmeier</a> <i style = 'font-size:80%'>Thought</i>,"<a href = '../players/evan-knox'>Evan Knox</a> <i style = 'font-size:80%'>Current Events, Pop Culture</i><br><a href = '../players/walter-zhang'>Walter Zhang</a> <i style = 'font-size:80%'>Geography</i>"
2022-23,<a href = '/sets/22-23-canadian-novice'>Canadian Novice</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/cormac-beirne'>Cormac Beirne</a><br><a href = '../players/sky-li'>Sky Li</a>,"<a href = '../players/max-gedajlovic'>Max Gedajlovic</a> <i style = 'font-size:80%'>European, World</i><br><a href = '../players/raymond-chen'>Raymond Chen</a> <i style = 'font-size:80%'>British</i><br><a href = '../players/wenying-wu'>Wenying Wu</a> <i style = 'font-size:80%'>American</i>",<a href = '../players/adrian-wong'>Adrian Wong</a> <i style = 'font-size:80%'>History</i><br><a href = '../players/dennis-beeby'>Dennis Beeby</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/ben-chapman'>Ben Chapman</a> <i style = 'font-size:80%'>Chemistry, Physics, Other</i><br><a href = '../players/raymond-chen'>Raymond Chen</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/sky-li'>Sky Li</a> <i style = 'font-size:80%'>Other</i>","<a href = '../players/aaron-dos-remedios'>Aaron Dos Remedios</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/ben-chapman'>Ben Chapman</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/cormac-beirne'>Cormac Beirne</a> <i style = 'font-size:80%'>Visual, Other</i><br><a href = '../players/sky-li'>Sky Li</a> <i style = 'font-size:80%'>Auditory, Other</i>",<a href = '../players/cormac-beirne'>Cormac Beirne</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/sky-li'>Sky Li</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/cormac-beirne'>Cormac Beirne</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/dennis-beeby'>Dennis Beeby</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/ian-dewan'>Ian Dewan</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/raymond-chen'>Raymond Chen</a> <i style = 'font-size:80%'>Social Science</i>,<a href = '../players/ian-chow'>Ian Chow</a> <i style = 'font-size:80%'>Other</i>
2022-23,<a href = '/sets/22-23-dii-sct'>DII SCT</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,NAQT,,,,,,,
2022-23,<a href = '/sets/22-23-naqt-collegiate-novice'>NAQT Collegiate Novice</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,NAQT,,,,,,,
2022-23,<a href = '/sets/22-23-acf-winter'>ACF Winter</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/joseph-krol'>Joseph Krol</a>,"<a href = '../players/athena-kern'>Athena Kern</a> <i style = 'font-size:80%'>World</i><br><a href = '../players/eve-fleisig'>Eve Fleisig</a> <i style = 'font-size:80%'>European</i><br><a href = '../players/henry-goff'>Henry Goff</a> <i style = 'font-size:80%'>British, American</i>","Govind Prabhakar <i style = 'font-size:80%'>Other, World</i><br><a href = '../players/hari-parameswaran'>Hari Parameswaran</a> <i style = 'font-size:80%'>American, European</i>","<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/joseph-krol'>Joseph Krol</a> <i style = 'font-size:80%'>Physics, Other</i><br><a href = '../players/justin-zhang'>Justin Zhang</a> <i style = 'font-size:80%'>Chemistry</i>","<a href = '../players/ani-perumalla'>Ani Perumalla</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/eve-fleisig'>Eve Fleisig</a> <i style = 'font-size:80%'>Visual, Auditory</i>",<a href = '../players/athena-kern'>Athena Kern</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/ethan-ashbrook'>Ethan Ashbrook</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/athena-kern'>Athena Kern</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/ethan-ashbrook'>Ethan Ashbrook</a> <i style = 'font-size:80%'>Philosophy</i>,"<a href = '../players/ani-perumalla'>Ani Perumalla</a> <i style = 'font-size:80%'>Geography, Other Academic</i><br><a href = '../players/joseph-krol'>Joseph Krol</a> <i style = 'font-size:80%'>Current Events</i>"
2022-23,<a href = '/sets/22-23-arcadia'>ARCADIA</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/grant-peet'>Grant Peet</a>,"<a href = '../players/caroline-mao'>Caroline Mao</a> <i style = 'font-size:80%'>British</i><br><a href = '../players/henry-goff'>Henry Goff</a> <i style = 'font-size:80%'>American, World</i><br><a href = '../players/payton-schubel'>Payton Schubel</a> <i style = 'font-size:80%'>European</i>","<a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>American</i><br><a href = '../players/grant-peet'>Grant Peet</a> <i style = 'font-size:80%'>European, World, Other</i><br><a href = '../players/kevin-thomas'>Kevin Thomas</a> <i style = 'font-size:80%'>Other</i>",<a href = '../players/hasna-karim'>Hasna Karim</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/jim-fan'>Jim Fan</a> <i style = 'font-size:80%'>Physics</i><br><a href = '../players/justin-zhang'>Justin Zhang</a> <i style = 'font-size:80%'>Chemistry</i><br><a href = '../players/vincent-du'>Vincent Du</a> <i style = 'font-size:80%'>Other</i>,"<a href = '../players/eric-gunter'>Eric Gunter</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>Visual, Other</i><br><a href = '../players/jacob-egol'>Jacob Egol</a> <i style = 'font-size:80%'>Auditory</i>",<a href = '../players/hasna-karim'>Hasna Karim</a> <i style = 'font-size:80%'>Beliefs</i><br><a href = '../players/jacob-egol'>Jacob Egol</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/kevin-thomas'>Kevin Thomas</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/ashish-subramanian'>Ashish Subramanian</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/jonathan-shauf'>Jonathan Shauf</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/kevin-jiang'>Kevin Jiang</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/michael-bucknall'>Michael Bucknall</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/ashish-subramanian'>Ashish Subramanian</a> <i style = 'font-size:80%'>Other</i>
2022-23,<a href = '/sets/22-23-cplusplus'>C++</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/amogh-kulkarni'>Amogh Kulkarni</a><br><a href = '../players/raymond-wang'>Raymond Wang</a>,"<a href = '../players/nathan-zhang'>Nathan Zhang</a> <i style = 'font-size:80%'>American, World</i><br><a href = '../players/raymond-wang'>Raymond Wang</a> <i style = 'font-size:80%'>European, British</i>",<a href = '../players/dennis-beeby'>Dennis Beeby</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/allan-lee'>Allan Lee</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/dan-ni'>Dan Ni</a> <i style = 'font-size:80%'>Chemistry, Other</i><br><a href = '../players/geoffrey-wu'>Geoffrey Wu</a> <i style = 'font-size:80%'>Physics, Other</i>","<a href = '../players/nathan-zhang'>Nathan Zhang</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/raymond-wang'>Raymond Wang</a> <i style = 'font-size:80%'>Auditory, Other</i>",<a href = '../players/william-groger'>William Groger</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/geoffrey-chen'>Geoffrey Chen</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/nathan-zhang'>Nathan Zhang</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/benjamin-mcavoy-bickford'>Benjamin McAvoy-Bickford</a> <i style = 'font-size:80%'>Other</i>
2022-23,<a href = '/sets/22-23-mrna-ii'>MRNA II</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/eric-mukherjee'>Eric Mukherjee</a>,<a href = '../players/chandler-west'>Chandler West</a> <i style = 'font-size:80%'>World</i><br><a href = '../players/henry-atkins'>Henry Atkins</a> <i style = 'font-size:80%'>Literature</i>,"<a href = '../players/chandler-west'>Chandler West</a> <i style = 'font-size:80%'>American</i><br><a href = '../players/erik-christensen'>Erik Christensen</a> <i style = 'font-size:80%'>European, World, Other</i>","<a href = '../players/david-bass'>David Bass</a> <i style = 'font-size:80%'>Physics, Other</i><br><a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Biology, Chemistry, Other</i>","<a href = '../players/chandler-west'>Chandler West</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/gerhardt-hinkle'>Gerhardt Hinkle</a> <i style = 'font-size:80%'>Auditory, Other</i>",<a href = '../players/gerhardt-hinkle'>Gerhardt Hinkle</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/erik-christensen'>Erik Christensen</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>Other</i>
2022-23,<a href = '/sets/22-23-acf-regionals'>ACF Regionals</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/nick-jensen'>Nick Jensen</a>,"<a href = '../players/alexandra-hardwick'>Alexandra Hardwick</a> <i style = 'font-size:80%'>European, World</i><br><a href = '../players/rahul-keyal'>Rahul Keyal</a> <i style = 'font-size:80%'>American</i><br><a href = '../players/tim-morrison'>Tim Morrison</a> <i style = 'font-size:80%'>British</i>","<a href = '../players/allan-lee'>Allan Lee</a> <i style = 'font-size:80%'>American, World</i><br><a href = '../players/grant-peet'>Grant Peet</a> <i style = 'font-size:80%'>European, Other</i>","<a href = '../players/graham-reid'>Graham Reid</a> <i style = 'font-size:80%'>Chemistry, Physics, Other</i><br><a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/tim-morrison'>Tim Morrison</a> <i style = 'font-size:80%'>Other</i>","<a href = '../players/chris-sims'>Chris Sims</a> <i style = 'font-size:80%'>Auditory, Other</i><br><a href = '../players/kevin-park'>Kevin Park</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/rahul-keyal'>Rahul Keyal</a> <i style = 'font-size:80%'>Visual</i>",<a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/alexandra-hardwick'>Alexandra Hardwick</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/chris-sims'>Chris Sims</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/tim-morrison'>Tim Morrison</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>Other</i>
2022-23,<a href = '/sets/22-23-di-sct'>DI SCT</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
